"코드","종목명","액면가"
"006060","화승인더","500"
"471990","KODEX AI반도체핵심장비","0"
"139990","아주스틸","500"
"083420","그린케미칼","500"
"015890","태경산업","500"
"105840","우진","500"
"214390","경보제약","500"
"136490","선진","500"
"002620","제일파마홀딩스","500"
"570084","한투 블룸버그 인버스 2X 천연가스선물 ETN","0"
"005430","한국공항","5,000"
"014280","금강공업","1,000"
"364960","TIGER BBIG","0"
"001360","삼성제약","500"
"078520","에이블씨엔씨","500"
"003070","코오롱글로벌","5,000"
"128820","대성산업","5,000"
"453010","ARIRANG KOFR금리","0"
"092200","디아이씨","500"
"010100","한국무브넥스","1,000"
"317400","자이에스앤디","1,000"
"326240","KBSTAR IT플러스","0"
"010580","에스엠벡셀","500"
"530111","삼성 레버리지 천연가스 선물 ETN C","0"
"011700","한신기계","500"
"282690","동아타이어","500"
"100840","SNT에너지","500"
"456600","TIMEFOLIO 글로벌AI인공지능액티브","0"
"007210","벽산","500"
"132030","KODEX 골드선물(H)","0"
"101530","해태제과식품","500"
"465580","ACE 미국빅테크TOP7 Plus","0"
"445290","KODEX K-로봇액티브","0"
"014580","태경비케이","500"
"466940","TIGER 은행고배당플러스TOP10","0"
"010820","퍼스텍","500"
"033530","세종공업","500"
"449190","KODEX 미국나스닥100(H)","0"
"000520","삼일제약","500"
"001020","페이퍼코리아","500"
"412770","TIGER 글로벌메타버스액티브","0"
"058850","KTcs","500"
"008700","아남전자","500"
"013570","디와이","500"
"461950","KODEX 2차전지핵심소재10 Fn","0"
"015230","대창단조","500"
"400760","NH올원리츠","500"
"570022","한투 레버리지 S&P500 선물 ETN(H)","0"
"451530","TIGER 국고채30년스트립액티브","0"
"134380","미원화학","1,000"
"004090","한국석유","500"
"003547","대신증권2우B","5,000"
"329650","KODEX TRF3070","0"
"003830","대한화섬","5,000"
"463290","KTOP 단기금융채액티브","0"
"002170","삼양통상","5,000"
"000320","노루홀딩스","500"
"079430","현대리바트","1,000"
"089470","HDC현대EP","500"
"012320","경동인베스트","5,000"
"016710","대성홀딩스","1,000"
"006890","태경케미컬","500"
"031440","신세계푸드","5,000"
"024900","덕양산업","500"
"002780","진흥기업","500"
"111380","동인기연","100"
"017370","우신시스템","500"
"000970","한국주철관","500"
"190620","ACE 단기통안채","0"
"363570","KODEX 장기종합채권(AA-이상)액티브KAP","0"
"000700","유수홀딩스","2,500"
"012610","경인양행","500"
"411060","ACE KRX금현물","0"
"530036","삼성 인버스 2X WTI원유 선물 ETN","0"
"401470","KODEX K-메타버스액티브","0"
"278620","ARIRANG 단기채권액티브","0"
"219480","KODEX 미국S&P500선물(H)","0"
"033920","무학","200"
"000860","강남제비스코","1,000"
"452360","SOL 미국배당다우존스(H)","0"
"004970","신라교역","500"
"003720","삼영","500"
"275980","TIGER 글로벌4차산업혁신기술(합성 H)","0"
"008260","NI스틸","500"
"000180","성창기업지주","500"
"094280","효성ITX","500"
"210540","디와이파워","500"
"007540","샘표","1,000"
"009470","삼화전기","1,000"
"070960","용평리조트","5,000"
"423920","TIGER 미국필라델피아반도체레버리지(합성)","0"
"079980","휴비스","5,000"
"292560","TIGER 일본엔선물","0"
"003650","미창석유","5,000"
"570019","한투 코스피 양매도 5% OTM ETN","0"
"244580","KODEX 바이오","0"
"474220","TIGER 미국테크TOP10+10%프리미엄","0"
"438330","TIGER 투자등급회사채액티브","0"
"006490","인스코비","500"
"004080","신흥","500"
"017900","광전자","500"
"008040","사조동아원","500"
"451060","KTOP K200액티브","0"
"002210","동성제약","1,000"
"472870","KBSTAR 미국채30년엔화노출(합성 H)","0"
"025820","이구산업","500"
"214420","토니모리","200"
"364970","TIGER 바이오TOP10","0"
"520026","미래에셋 코스피 양매도 5% OTM ETN","0"
"396690","미래에셋글로벌리츠","1,000"
"063160","종근당바이오","2,500"
"009270","신원","500"
"014530","극동유화","500"
"213610","KODEX 삼성그룹밸류","0"
"001750","한양증권","5,000"
"00279","아모레G3우(전환)","500"
"304940","KODEX 미국나스닥100선물(H)","0"
"002700","신일전자","500"
"163560","동일고무벨트","500"
"017550","수산중공업","500"
"003460","유화증권","1,000"
"214330","금호에이치티","500"
"228800","TIGER 여행레저","0"
"448300","TIGER 미국나스닥100TR(H)","0"
"325020","KODEX 배당가치","0"
"004840","DRB동일","500"
"001045","CJ우","5,000"
"473440","ACE 11월만기자동연장회사채AA-이상액티브","0"
"004830","덕성","500"
"462540","SOL 25-09 회사채(AA-이상)액티브","0"
"055490","테이팩스","500"
"372910","한컴라이프케어","200"
"004150","한솔홀딩스","1,000"
"013580","계룡건설","5,000"
"012170","아센디오","500"
"014160","대영포장","500"
"248170","샘표식품","500"
"016740","두올","2,500"
"024090","디씨엠","500"
"363580","KODEX 200IT TR","0"
"023800","인지컨트롤스","500"
"461270","ACE 26-06 회사채(AA-이상)액티브","0"
"401170","KBSTAR iSelect메타버스","0"
"395270","HANARO Fn K-반도체","0"
"012800","대창","500"
"302450","KBSTAR 코스피","0"
"277630","TIGER 코스피","0"
"003060","에이프로젠바이오로직스","500"
"120030","조선선재","500"
"004310","현대약품","500"
"011690","와이투솔루션","2,500"
"033180","KH 필룩스","500"
"278240","KBSTAR 코스닥150선물레버리지","0"
"448600","KBSTAR 25-11 회사채(AA-이상)액티브","0"
"010040","한국내화","500"
"182480","TIGER 미국MSCI리츠(합성 H)","0"
"305080","TIGER 미국채10년선물","0"
"032560","황금에스티","500"
"441540","HANARO Fn조선해운","0"
"002200","한국수출포장","500"
"036580","팜스코","500"
"005960","동부건설","5,000"
