"코드","종목명","액면가"
"032850","비트컴퓨터","500"
"215360","우리산업","500"
"142210","유니트론텍","500"
"263600","덕우전자","500"
"041930","동아화성","500"
"389470","인벤티지랩","500"
"066590","우수AMS","500"
"078890","가온그룹","500"
"041920","메디아나","500"
"052420","오성첨단소재","500"
"111710","남화산업","200"
"096630","에스코넥","200"
"317830","에스피시스템스","100"
"180400","DXVX","500"
"067370","선바이오","500"
"053450","세코닉스","500"
"054670","대한뉴팜","500"
"306620","네온테크","100"
"369370","블리츠웨이","100"
"377030","맥스트","500"
"033310","엠투엔","500"
"041910","에스텍파마","500"
"053980","오상자이엘","500"
"171120","라이온켐텍","500"
"052710","아모텍","500"
"263690","디알젬","500"
"054800","아이디스홀딩스","500"
"289080","SV인베스트먼트","500"
"045660","에이텍","500"
"037950","엘컴텍","500"
"101930","인화정공","500"
"170030","현대공업","500"
"058630","엠게임","500"
"052330","코텍","500"
"053160","프리엠스","500"
"232680","라온테크","500"
"340360","다보링크","100"
"049960","쎌바이오텍","500"
"027830","대성창투","500"
"109670","씨싸이트","500"
"094970","제이엠티","500"
"234100","폴라리스세원","100"
"407400","꿈비","100"
"323280","태성","100"
"452280","한선엔지니어링","500"
"054040","한국컴퓨터","500"
"083500","에프엔에스테크","500"
"041440","현대에버다임","500"
"241840","에이스토리","500"
"061250","화일약품","500"
"251120","바이오에프디엔씨","500"
"056090","이노시스","500"
"234300","에스트래픽","500"
"005990","매일홀딩스","500"
"226400","오스테오닉","500"
"330350","위더스제약","200"
"396300","세아메카닉스","100"
"057680","티사이언티픽","500"
"376930","노을","500"
"222810","세토피아","500"
"352090","스톰테크","100"
"036090","위지트","500"
"066620","국보디자인","500"
"237820","플레이디","500"
"038680","에스넷","500"
"040420","정상제이엘에스","500"
"284620","카이노스메드","500"
"368770","파이버프로","100"
"257370","피엔티엠에스","500"
"086670","비엠티","500"
"052790","액토즈소프트","500"
"093920","서원인텍","500"
"160600","이큐셀","500"
"151910","SBW생명과학","100"
"104620","노랑풍선","500"
"000440","중앙에너비스","500"
"036120","SCI평가정보","500"
"187870","디바이스이엔지","500"
"027580","상보","500"
"199820","제일전기공업","500"
"009300","삼아제약","1,000"
"136410","아셈스","500"
"007820","에스엠코어","500"
"126880","제이엔케이히터","500"
"095190","이엠코리아","500"
"050110","캠시스","500"
"059120","아진엑스텍","500"
"217730","강스템바이오텍","500"
"067570","엔브이에이치코리아","500"
"027050","코리아나","500"
"321370","센서뷰","500"
"241690","유니테크노","500"
"403490","우듬지팜","100"
"065130","탑엔지니어링","500"
"093190","빅솔론","500"
"067290","JW신약","500"
"071670","에이테크솔루션","500"
"001540","안국약품","500"
"127980","화인써키트","100"
"043650","국순당","500"
"018120","진로발효","500"
"186230","그린플러스","500"
"408920","메쎄이상","100"
"160550","NEW","500"
"361570","알비더블유","500"
"010470","오리콤","1,000"
"448710","코츠테크놀로지","100"
"066910","손오공","500"
"009730","코센","500"
"253840","수젠텍","500"
"039860","나노엔텍","500"
"049080","기가레인","500"
"043220","티에스넥스젠","500"
"006140","피제이전자","500"
"333620","엔시스","100"
"066670","디스플레이텍","500"
"089790","제이티","500"
"049520","유아이엘","500"
"073560","우리손에프앤지","500"
"033540","파라텍","500"
"072020","중앙백신","500"
"065530","와이어블","500"
"226440","한송네오텍","100"
